"magnification","detector","n_images","median_um","median_ci_low","median_ci_upp","uA_um","uA_ci_low","uA_ci_upp","uC_um","uC_ci_low","uC_ci_upp","U_um","U_ci_low","U_ci_upp","eps_M_pct","eps_M_ci_low","eps_M_ci_upp"
400,"SED",354,1.644321,1.643284,1.644321,0.000151846252934317,0.000105118267469851,0.000167842511027549,0.0133368044511468,0.0133363554053667,0.0133369961682572,0.0400104133534405,0.0400090662161003,0.0400109885047717,-1.34074000000001,-1.40296000000001,-1.34074000000001
400,"BED-S",359,1.644321,1.643284,1.644321,0.000104383679382269,0.000104305430747039,0.000104305430747039,0.0133363485120974,0.0133363478998744,0.0133363478998744,0.0400090455362921,0.0400090436996231,0.0400090436996231,-1.34074000000001,-1.40296000000001,-1.34074000000001
500,"SED",210,1.643284,1.641654,1.643284,0.000454764037635896,0.000303244231170477,0.000454764037635896,0.0133436916186461,0.0133393872703111,0.0133436916186461,0.0400310748559384,0.0400181618109333,0.0400310748559384,-1.40296000000001,-1.50076000000001,-1.40296000000001
500,"BED-S",211,1.642988,1.641802,1.643284,0.000423473465483043,0.000287316896923303,0.000423473465483043,0.0133426618580989,0.0133390346983152,0.0133426618580989,0.0400279855742968,0.0400171040949457,0.0400279855742968,-1.42072000000001,-1.49188000000001,-1.40296000000001
750,"SED",92,1.648322,1.647359,1.649211,0.000389366200818934,0.000206198694677431,0.000458073337088901,0.0133416229043524,0.0133375340144004,0.0133438048121873,0.0400248687130572,0.0400126020432011,0.0400314144365618,-1.10068,-1.15846,-1.04734000000001
750,"BED-S",91,1.647729,1.646248,1.646989,0.00029949185396264,0.000207173140286562,0.000322338404316806,0.0133393024950404,0.0133375491149482,0.0133398349963745,0.0400179074851211,0.0400126473448447,0.0400195049891235,-1.13626,-1.22512000000001,-1.18066
1000,"SED",57,1.642988,1.641802,1.644321,0.000523732571078317,0.000291027997877039,0.000582055995754079,0.0133462201199294,0.0133391151497822,0.013348636067621,0.0400386603597882,0.0400173454493465,0.0400459082028631,-1.42072000000001,-1.49188000000001,-1.34074000000001
1000,"BED-S",58,1.642988,1.64099930447605,1.643284,0.000346132003062223,0.000259599002296657,0.000548009892362279,0.0133404311417264,0.0133384664532919,0.0133471948560635,0.0400212934251792,0.0400153993598757,0.0400415845681904,-1.42072000000001,-1.54004173143688,-1.40296000000001
