magnification,n_tiles,sigma2,lengthscale_norm,lengthscale_um,noise_variance,max_distortion_pct,nlml,lrt,lrt_p,f_rms_um
400,339,1.0000000000000004e-06,0.7092717053087881,216.32787011918037,8.290658636852145e-06,0.11338658385830408,-1498.2441899911712,8.087732575106202,0.017529566882803604,0.0005715677783768643
500,200,0.0001241924928567955,1.5398342572522548,364.9407189687844,7.237243121980604e-06,0.9424087605639325,-888.9881331351888,247.92403815297166,0.0,0.0045206720535546415
750,88,3.102294408644813e-05,1.2175451055892104,186.2844011551492,7.4420707159438895e-06,0.49388304683930406,-387.71516576151856,42.599883839644804,5.617625253862002e-10,0.002519050178417651
1000,53,1.232790444282601e-06,0.5207866234671146,61.97360819258663,8.405130814320896e-06,0.1370086581936917,-232.40984272761992,1.1291994538342465,0.5685876915626598,0.0006727777848146268
