magnification,image_path,tile_x,tile_y,local_pitch_um,mag,base,det,stage_x_mm,stage_y_mm,stage_x_um,stage_y_um
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y000.png,3,0,1.64624770444444,1000,Grp_003_SED_X003_Y000,SED,6.432,14.712,6432.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y001.png,3,1,1.64180239111111,1000,Grp_003_SED_X003_Y001,SED,6.433,14.724,6433.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y002.png,3,2,1.64180239111111,1000,Grp_003_SED_X003_Y002,SED,6.432,14.737,6432.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y003.png,3,3,1.64032062,1000,Grp_003_SED_X003_Y003,SED,6.433,14.75,6433.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y004.png,3,4,1.64180239111111,1000,Grp_003_SED_X003_Y004,SED,6.432,14.762,6432.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y005.png,3,5,1.637653432,1000,Grp_003_SED_X003_Y005,SED,6.433,14.775,6433.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y006.png,3,6,1.64624770444444,1000,Grp_003_SED_X003_Y006,SED,6.432,14.787,6432.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X003_Y007.png,3,7,1.8520286675,1000,Grp_003_SED_X003_Y007,SED,6.433,14.8,6433.0,14800.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y000.png,4,0,1.64772947555556,1000,Grp_003_SED_X004_Y000,SED,6.415,14.712,6415.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y001.png,4,1,1.64328416222222,1000,Grp_003_SED_X004_Y001,SED,6.416,14.724,6416.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y002.png,4,2,1.478955746,1000,Grp_003_SED_X004_Y002,SED,6.415,14.737,6415.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y003.png,4,3,1.64180239111111,1000,Grp_003_SED_X004_Y003,SED,6.416,14.75,6416.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y004.png,4,4,1.637653432,1000,Grp_003_SED_X004_Y004,SED,6.416,14.762,6416.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y005.png,4,5,1.648322184,1000,Grp_003_SED_X004_Y005,SED,6.416,14.775,6416.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y006.png,4,6,1.8386927275,1000,Grp_003_SED_X004_Y006,SED,6.416,14.787,6416.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X004_Y007.png,4,7,1.63587530666667,1000,Grp_003_SED_X004_Y007,SED,6.416,14.8,6416.0,14800.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y000.png,5,0,1.64476593333333,1000,Grp_003_SED_X005_Y000,SED,6.399,14.712,6399.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y001.png,5,1,1.64624770444444,1000,Grp_003_SED_X005_Y001,SED,6.399,14.724,6399.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y002.png,5,2,1.64476593333333,1000,Grp_003_SED_X005_Y002,SED,6.399,14.737,6399.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y003.png,5,3,1.556304198,1000,Grp_003_SED_X005_Y003,SED,6.399,14.75,6399.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y004.png,5,4,1.64180239111111,1000,Grp_003_SED_X005_Y004,SED,6.399,14.762,6399.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y005.png,5,5,1.52029716,1000,Grp_003_SED_X005_Y005,SED,6.399,14.775,6399.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y006.png,5,6,1.64032062,1000,Grp_003_SED_X005_Y006,SED,6.399,14.787,6399.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X005_Y007.png,5,7,1.64032062,1000,Grp_003_SED_X005_Y007,SED,6.399,14.8,6399.0,14800.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y000.png,6,0,1.64476593333333,1000,Grp_003_SED_X006_Y000,SED,6.382,14.712,6382.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y001.png,6,1,1.63735707777778,1000,Grp_003_SED_X006_Y001,SED,6.382,14.724,6382.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y002.png,6,2,1.54030107,1000,Grp_003_SED_X006_Y002,SED,6.382,14.737,6382.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y003.png,6,3,1.565639356,1000,Grp_003_SED_X006_Y003,SED,6.382,14.75,6382.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y004.png,6,4,1.58697686,1000,Grp_003_SED_X006_Y004,SED,6.382,14.762,6382.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y005.png,6,5,1.610981552,1000,Grp_003_SED_X006_Y005,SED,6.382,14.775,6382.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y006.png,6,6,1.48998820545455,1000,Grp_003_SED_X006_Y006,SED,6.382,14.787,6382.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X006_Y007.png,6,7,1.49726235454545,1000,Grp_003_SED_X006_Y007,SED,6.382,14.8,6382.0,14800.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y000.png,7,0,1.64032062,1000,Grp_003_SED_X007_Y000,SED,6.365,14.712,6365.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y001.png,7,1,1.64624770444444,1000,Grp_003_SED_X007_Y001,SED,6.365,14.725,6365.0,14725.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y002.png,7,2,1.63883884888889,1000,Grp_003_SED_X007_Y002,SED,6.365,14.737,6365.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y003.png,7,3,1.63883884888889,1000,Grp_003_SED_X007_Y003,SED,6.365,14.75,6365.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y004.png,7,4,1.64032062,1000,Grp_003_SED_X007_Y004,SED,6.365,14.762,6365.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y005.png,7,5,1.64476593333333,1000,Grp_003_SED_X007_Y005,SED,6.365,14.775,6365.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y006.png,7,6,1.64476593333333,1000,Grp_003_SED_X007_Y006,SED,6.365,14.787,6365.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X007_Y007.png,7,7,1.641654214,1000,Grp_003_SED_X007_Y007,SED,6.365,14.8,6365.0,14800.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y000.png,0,0,1.65513833111111,750,Grp_001_SED_X000_Y000,SED,6.504,14.697,6504.0,14697.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y001.png,0,1,1.65069301777778,750,Grp_001_SED_X000_Y001,SED,6.504,14.71,6504.0,14710.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y002.png,0,2,1.65810187333333,750,Grp_001_SED_X000_Y002,SED,6.503,14.723,6503.0,14723.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y003.png,0,3,1.648322184,750,Grp_001_SED_X000_Y003,SED,6.504,14.735,6504.0,14735.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y004.png,0,4,1.649655778,750,Grp_001_SED_X000_Y004,SED,6.503,14.748,6503.0,14748.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y005.png,0,5,1.64772947555556,750,Grp_001_SED_X000_Y005,SED,6.504,14.76,6504.0,14760.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y006.png,0,6,1.64476593333333,750,Grp_001_SED_X000_Y006,SED,6.504,14.773,6504.0,14773.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y007.png,0,7,1.64624770444444,750,Grp_001_SED_X000_Y007,SED,6.504,14.785,6504.0,14785.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y008.png,0,8,1.64921124666667,750,Grp_001_SED_X000_Y008,SED,6.504,14.798,6504.0,14798.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X000_Y009.png,0,9,1.64624770444444,750,Grp_001_SED_X000_Y009,SED,6.504,14.81,6504.0,14810.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y000.png,1,0,1.65069301777778,750,Grp_001_SED_X001_Y000,SED,6.486,14.698,6486.0,14698.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y001.png,1,1,1.64921124666667,750,Grp_001_SED_X001_Y001,SED,6.487,14.71,6487.0,14710.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y002.png,1,2,1.64921124666667,750,Grp_001_SED_X001_Y002,SED,6.486,14.723,6486.0,14723.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y003.png,1,3,1.64698859,750,Grp_001_SED_X001_Y003,SED,6.487,14.735,6487.0,14735.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y004.png,1,4,1.645654996,750,Grp_001_SED_X001_Y004,SED,6.486,14.748,6486.0,14748.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y005.png,1,5,1.64476593333333,750,Grp_001_SED_X001_Y005,SED,6.487,14.76,6487.0,14760.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y006.png,1,6,1.64772947555556,750,Grp_001_SED_X001_Y006,SED,6.486,14.773,6486.0,14773.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y007.png,1,7,1.64476593333333,750,Grp_001_SED_X001_Y007,SED,6.487,14.786,6487.0,14786.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y008.png,1,8,1.64772947555556,750,Grp_001_SED_X001_Y008,SED,6.487,14.798,6487.0,14798.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X001_Y009.png,1,9,1.64328416222222,750,Grp_001_SED_X001_Y009,SED,6.487,14.81,6487.0,14810.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y000.png,2,0,1.65069301777778,750,Grp_001_SED_X002_Y000,SED,6.469,14.698,6469.0,14698.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y001.png,2,1,1.65513833111111,750,Grp_001_SED_X002_Y001,SED,6.47,14.71,6470.0,14710.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y002.png,2,2,1.64772947555556,750,Grp_001_SED_X002_Y002,SED,6.47,14.723,6470.0,14723.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y003.png,2,3,1.64921124666667,750,Grp_001_SED_X002_Y003,SED,6.47,14.735,6470.0,14735.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y004.png,2,4,1.652322966,750,Grp_001_SED_X002_Y004,SED,6.47,14.748,6470.0,14748.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y005.png,2,5,1.642987808,750,Grp_001_SED_X002_Y005,SED,6.47,14.76,6470.0,14760.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y006.png,2,6,1.64772947555556,750,Grp_001_SED_X002_Y006,SED,6.47,14.773,6470.0,14773.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y007.png,2,7,1.64772947555556,750,Grp_001_SED_X002_Y007,SED,6.47,14.786,6470.0,14786.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y008.png,2,8,1.64476593333333,750,Grp_001_SED_X002_Y008,SED,6.47,14.798,6470.0,14798.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X002_Y009.png,2,9,1.64328416222222,750,Grp_001_SED_X002_Y009,SED,6.47,14.811,6470.0,14811.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y000.png,3,0,1.65217478888889,750,Grp_001_SED_X003_Y000,SED,6.453,14.698,6453.0,14698.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y001.png,3,1,1.65217478888889,750,Grp_001_SED_X003_Y001,SED,6.453,14.71,6453.0,14710.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y002.png,3,2,1.64921124666667,750,Grp_001_SED_X003_Y002,SED,6.453,14.723,6453.0,14723.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y003.png,3,3,1.64921124666667,750,Grp_001_SED_X003_Y003,SED,6.453,14.735,6453.0,14735.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y004.png,3,4,1.64476593333333,750,Grp_001_SED_X003_Y004,SED,6.453,14.748,6453.0,14748.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y005.png,3,5,1.649655778,750,Grp_001_SED_X003_Y005,SED,6.453,14.76,6453.0,14760.0
750,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag750_SED-BED/SED/Grp_001_SED_X003_Y006.png,3,6,1.644321402,750,Grp_001_SED_X003_Y006,SED,6.453,14.773,6453.0,14773.0
