magnification,image_path,tile_x,tile_y,local_pitch_um,mag,base,det,stage_x_mm,stage_y_mm,stage_x_um,stage_y_um
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y000.png,0,0,1.64624770444444,1000,Grp_003_SED_X000_Y000,SED,6.483,14.712,6483.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y001.png,0,1,1.642987808,1000,Grp_003_SED_X000_Y001,SED,6.483,14.724,6483.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y002.png,0,2,1.645654996,1000,Grp_003_SED_X000_Y002,SED,6.483,14.737,6483.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y003.png,0,3,1.64328416222222,1000,Grp_003_SED_X000_Y003,SED,6.483,14.75,6483.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y004.png,0,4,1.64476593333333,1000,Grp_003_SED_X000_Y004,SED,6.483,14.762,6483.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y005.png,0,5,1.64476593333333,1000,Grp_003_SED_X000_Y005,SED,6.484,14.775,6484.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y006.png,0,6,1.64476593333333,1000,Grp_003_SED_X000_Y006,SED,6.483,14.787,6483.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X000_Y007.png,0,7,1.64032062,1000,Grp_003_SED_X000_Y007,SED,6.484,14.8,6484.0,14800.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y000.png,1,0,1.64328416222222,1000,Grp_003_SED_X001_Y000,SED,6.466,14.712,6466.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y001.png,1,1,1.64624770444444,1000,Grp_003_SED_X001_Y001,SED,6.466,14.724,6466.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y002.png,1,2,1.644321402,1000,Grp_003_SED_X001_Y002,SED,6.466,14.737,6466.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y003.png,1,3,1.641654214,1000,Grp_003_SED_X001_Y003,SED,6.467,14.75,6467.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y004.png,1,4,1.64328416222222,1000,Grp_003_SED_X001_Y004,SED,6.466,14.762,6466.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y005.png,1,5,1.63735707777778,1000,Grp_003_SED_X001_Y005,SED,6.467,14.775,6467.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y006.png,1,6,1.63883884888889,1000,Grp_003_SED_X001_Y006,SED,6.466,14.787,6466.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X001_Y007.png,1,7,1.63735707777778,1000,Grp_003_SED_X001_Y007,SED,6.467,14.8,6467.0,14800.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y000.png,2,0,1.64180239111111,1000,Grp_003_SED_X002_Y000,SED,6.449,14.712,6449.0,14712.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y001.png,2,1,1.64180239111111,1000,Grp_003_SED_X002_Y001,SED,6.45,14.724,6450.0,14724.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y002.png,2,2,1.644321402,1000,Grp_003_SED_X002_Y002,SED,6.449,14.737,6449.0,14737.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y003.png,2,3,1.645654996,1000,Grp_003_SED_X002_Y003,SED,6.45,14.75,6450.0,14750.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y004.png,2,4,1.64624770444444,1000,Grp_003_SED_X002_Y004,SED,6.449,14.762,6449.0,14762.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y005.png,2,5,1.64476593333333,1000,Grp_003_SED_X002_Y005,SED,6.45,14.775,6450.0,14775.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y006.png,2,6,1.64180239111111,1000,Grp_003_SED_X002_Y006,SED,6.449,14.787,6449.0,14787.0
1000,/Users/dawid/Library/Mobile Documents/com~apple~CloudDocs/Dokumenty/SEM_measurements/Calibration/mag1000_SED-BED/SED/Grp_003_SED_X002_Y007.png,2,7,1.63883884888889,1000,Grp_003_SED_X002_Y007,SED,6.45,14.8,6450.0,14800.0
