mag,det,base,pitch,stage_x_um,stage_y_um
1000,SED,Grp_003_SED_X000_Y000,1.6536565599999997,6483.0,14712.0
1000,SED,Grp_003_SED_X000_Y001,1.6788466688888888,6483.0,14724.0
1000,SED,Grp_003_SED_X000_Y002,1.652174788888889,6483.0,14737.0
1000,SED,Grp_003_SED_X000_Y003,1.649655778,6483.0,14750.0
1000,SED,Grp_003_SED_X000_Y004,1.6523229659999998,6483.0,14762.0
1000,SED,Grp_003_SED_X000_Y005,1.6699560422222222,6484.0,14775.0
1000,SED,Grp_003_SED_X000_Y006,1.6625471866666668,6483.0,14787.0
1000,SED,Grp_003_SED_X000_Y007,1.6492112466666664,6484.0,14800.0
1000,SED,Grp_003_SED_X001_Y000,1.65365656,6466.0,14712.0
1000,SED,Grp_003_SED_X001_Y001,1.6610654155555555,6466.0,14724.0
1000,SED,Grp_003_SED_X001_Y002,1.6803284399999998,6466.0,14737.0
1000,SED,Grp_003_SED_X001_Y003,1.672326876,6467.0,14750.0
1000,SED,Grp_003_SED_X001_Y004,1.654990154,6466.0,14762.0
1000,SED,Grp_003_SED_X001_Y005,1.641802391111111,6467.0,14775.0
1000,SED,Grp_003_SED_X001_Y006,1.655138331111111,6466.0,14787.0
1000,SED,Grp_003_SED_X001_Y007,1.6595836444444447,6467.0,14800.0
1000,SED,Grp_003_SED_X002_Y000,1.65365656,6449.0,14712.0
1000,SED,Grp_003_SED_X002_Y001,1.655138331111111,6450.0,14724.0
1000,SED,Grp_003_SED_X002_Y002,1.6477294755555554,6449.0,14737.0
1000,SED,Grp_003_SED_X002_Y003,1.65365656,6450.0,14750.0
1000,SED,Grp_003_SED_X002_Y004,1.6549901539999996,6449.0,14762.0
1000,SED,Grp_003_SED_X002_Y005,1.645654996,6450.0,14775.0
1000,SED,Grp_003_SED_X002_Y006,1.6610654155555555,6449.0,14787.0
1000,SED,Grp_003_SED_X002_Y007,1.6595836444444443,6450.0,14800.0
1000,SED,Grp_003_SED_X003_Y000,1.6640289577777778,6432.0,14712.0
1000,SED,Grp_003_SED_X003_Y001,1.6729195844444444,6433.0,14724.0
1000,SED,Grp_003_SED_X003_Y002,1.6640289577777778,6432.0,14737.0
1000,SED,Grp_003_SED_X003_Y003,1.6581018733333333,6433.0,14750.0
1000,SED,Grp_003_SED_X003_Y004,1.6643253120000001,6432.0,14762.0
1000,SED,Grp_003_SED_X003_Y005,1.6506930177777777,6433.0,14775.0
1000,SED,Grp_003_SED_X003_Y006,1.643284162222222,6432.0,14787.0
1000,SED,Grp_003_SED_X003_Y007,1.658990936,6433.0,14800.0
1000,SED,Grp_003_SED_X004_Y000,1.6669925,6415.0,14712.0
1000,SED,Grp_003_SED_X004_Y001,1.6744013555555555,6416.0,14724.0
1000,SED,Grp_003_SED_X004_Y002,1.6521747888888887,6415.0,14737.0
1000,SED,Grp_003_SED_X004_Y003,1.655138331111111,6416.0,14750.0
1000,SED,Grp_003_SED_X004_Y004,1.6566201022222222,6416.0,14762.0
1000,SED,Grp_003_SED_X004_Y005,1.6699560422222222,6416.0,14775.0
1000,SED,Grp_003_SED_X004_Y006,1.64698859,6416.0,14787.0
1000,SED,Grp_003_SED_X004_Y007,1.6576573419999998,6416.0,14800.0
1000,SED,Grp_003_SED_X005_Y000,1.6523229659999998,6399.0,14712.0
1000,SED,Grp_003_SED_X005_Y001,1.6563237479999997,6399.0,14724.0
1000,SED,Grp_003_SED_X005_Y002,1.6640289577777776,6399.0,14737.0
1000,SED,Grp_003_SED_X005_Y003,1.6640289577777778,6399.0,14750.0
1000,SED,Grp_003_SED_X005_Y004,1.6566201022222222,6399.0,14762.0
1000,SED,Grp_003_SED_X005_Y005,1.656620102222222,6399.0,14775.0
1000,SED,Grp_003_SED_X005_Y006,1.672326876,6399.0,14787.0
1000,SED,Grp_003_SED_X005_Y007,1.6736604700000002,6399.0,14800.0
1000,SED,Grp_003_SED_X006_Y000,1.6416542140000001,6382.0,14712.0
1000,SED,Grp_003_SED_X006_Y001,1.6563237479999997,6382.0,14724.0
1000,SED,Grp_003_SED_X006_Y002,1.6669925,6382.0,14737.0
1000,SED,Grp_003_SED_X006_Y003,1.6714378133333332,6382.0,14750.0
1000,SED,Grp_003_SED_X006_Y004,1.6492112466666666,6382.0,14762.0
1000,SED,Grp_003_SED_X006_Y005,1.655138331111111,6382.0,14775.0
1000,SED,Grp_003_SED_X006_Y006,1.6699560422222222,6382.0,14787.0
1000,SED,Grp_003_SED_X006_Y007,1.6477294755555556,6382.0,14800.0
1000,SED,Grp_003_SED_X007_Y000,1.6763276579999995,6365.0,14712.0
1000,SED,Grp_003_SED_X007_Y001,1.65365656,6365.0,14725.0
1000,SED,Grp_003_SED_X007_Y002,1.641802391111111,6365.0,14737.0
1000,SED,Grp_003_SED_X007_Y003,1.6655107288888888,6365.0,14750.0
1000,SED,Grp_003_SED_X007_Y004,1.6640289577777776,6365.0,14762.0
1000,SED,Grp_003_SED_X007_Y005,1.655138331111111,6365.0,14775.0
1000,SED,Grp_003_SED_X007_Y006,1.65365656,6365.0,14787.0
1000,SED,Grp_003_SED_X007_Y007,1.644765933333333,6365.0,14800.0
1000,BED-S,Grp_003_BED-S_X000_Y000,1.6509893720000002,6483.0,14712.0
1000,BED-S,Grp_003_BED-S_X000_Y001,1.6643253120000001,6483.0,14724.0
1000,BED-S,Grp_003_BED-S_X000_Y002,1.6447659333333333,6483.0,14737.0
1000,BED-S,Grp_003_BED-S_X000_Y003,1.6492112466666664,6483.0,14750.0
1000,BED-S,Grp_003_BED-S_X000_Y004,1.6506930177777777,6483.0,14762.0
1000,BED-S,Grp_003_BED-S_X000_Y005,1.6447659333333333,6483.0,14775.0
1000,BED-S,Grp_003_BED-S_X000_Y006,1.6536565599999997,6483.0,14787.0
1000,BED-S,Grp_003_BED-S_X000_Y007,1.655138331111111,6483.0,14800.0
1000,BED-S,Grp_003_BED-S_X001_Y000,1.645654996,6466.0,14712.0
1000,BED-S,Grp_003_BED-S_X001_Y001,1.6477294755555554,6466.0,14724.0
1000,BED-S,Grp_003_BED-S_X001_Y002,1.6758831266666665,6466.0,14737.0
1000,BED-S,Grp_003_BED-S_X001_Y003,1.6536565599999997,6466.0,14750.0
1000,BED-S,Grp_003_BED-S_X001_Y004,1.6521747888888887,6466.0,14762.0
1000,BED-S,Grp_003_BED-S_X001_Y005,1.6153157325,6466.0,14775.0
1000,BED-S,Grp_003_BED-S_X001_Y006,1.6314299933333334,6466.0,14787.0
1000,BED-S,Grp_003_BED-S_X001_Y007,1.652174788888889,6466.0,14800.0
1000,BED-S,Grp_003_BED-S_X002_Y000,1.6509893720000002,6449.0,14712.0
1000,BED-S,Grp_003_BED-S_X002_Y001,1.6521747888888887,6449.0,14724.0
1000,BED-S,Grp_003_BED-S_X002_Y002,1.655138331111111,6449.0,14737.0
1000,BED-S,Grp_003_BED-S_X002_Y003,1.6509893720000002,6449.0,14750.0
1000,BED-S,Grp_003_BED-S_X002_Y004,1.6744013555555555,6450.0,14762.0
1000,BED-S,Grp_003_BED-S_X002_Y005,1.6477294755555552,6450.0,14775.0
1000,BED-S,Grp_003_BED-S_X002_Y006,1.6462477044444443,6450.0,14787.0
1000,BED-S,Grp_003_BED-S_X002_Y007,1.6432841622222218,6450.0,14800.0
1000,BED-S,Grp_003_BED-S_X003_Y000,1.6595836444444443,6433.0,14712.0
1000,BED-S,Grp_003_BED-S_X003_Y001,1.6506930177777777,6432.0,14724.0
1000,BED-S,Grp_003_BED-S_X003_Y002,1.6656589059999998,6433.0,14737.0
1000,BED-S,Grp_003_BED-S_X003_Y003,1.656620102222222,6433.0,14750.0
1000,BED-S,Grp_003_BED-S_X003_Y004,1.6469885899999999,6433.0,14762.0
1000,BED-S,Grp_003_BED-S_X003_Y005,1.6753274624999999,6433.0,14775.0
1000,BED-S,Grp_003_BED-S_X003_Y006,1.655138331111111,6433.0,14787.0
1000,BED-S,Grp_003_BED-S_X003_Y007,1.6521747888888887,6433.0,14800.0
1000,BED-S,Grp_003_BED-S_X004_Y000,1.6521747888888887,6416.0,14712.0
1000,BED-S,Grp_003_BED-S_X004_Y001,1.655138331111111,6416.0,14724.0
1000,BED-S,Grp_003_BED-S_X004_Y002,1.6429878080000002,6416.0,14737.0
1000,BED-S,Grp_003_BED-S_X004_Y003,1.6477294755555556,6416.0,14750.0
