mag,det,file,pitch,quant,snr
1000,SED,Grp_003_SED_X000_Y000.png,1.6518811664210011,1.6552730375757574,231.32103396972053
1000,SED,Grp_003_SED_X000_Y001.png,1.644036305503991,1.645301513253012,214.16945398110383
1000,SED,Grp_003_SED_X000_Y002.png,1.6449870110928548,1.645301513253012,229.61088253130083
1000,SED,Grp_003_SED_X000_Y003.png,1.6463650085178907,1.645301513253012,244.78410304348728
1000,SED,Grp_003_SED_X000_Y004.png,1.6431679632714964,1.645301513253012,253.1613986708249
1000,SED,Grp_003_SED_X000_Y005.png,1.6407949973517,1.645301513253012,240.15187878968345
1000,SED,Grp_003_SED_X000_Y006.png,1.6405090892790433,1.645301513253012,207.86020978692594
1000,SED,Grp_003_SED_X000_Y007.png,1.6383652764156127,1.6354494083832334,242.94515808932067
1000,SED,Grp_003_SED_X001_Y000.png,1.6421283013380499,1.645301513253012,243.01170051160534
1000,SED,Grp_003_SED_X001_Y001.png,1.6437920527674943,1.645301513253012,243.0559093889523
1000,SED,Grp_003_SED_X001_Y002.png,1.6527669112868562,1.6552730375757574,237.81392170252
1000,SED,Grp_003_SED_X001_Y003.png,1.6446585665071043,1.645301513253012,252.12945569713546
1000,SED,Grp_003_SED_X001_Y004.png,1.6417169763923918,1.645301513253012,237.97739675653256
1000,SED,Grp_003_SED_X001_Y005.png,1.6420909088138023,1.645301513253012,252.21829878075926
1000,SED,Grp_003_SED_X001_Y006.png,1.639277433965487,1.6354494083832334,244.46833832646726
1000,SED,Grp_003_SED_X001_Y007.png,1.6408030075232307,1.645301513253012,221.17230358382176
1000,SED,Grp_003_SED_X002_Y000.png,1.6488607944283926,1.645301513253012,255.13081644654704
1000,SED,Grp_003_SED_X002_Y001.png,1.6457985078782247,1.645301513253012,250.58349433707917
1000,SED,Grp_003_SED_X002_Y002.png,1.638730396320323,1.6354494083832334,191.49133058582186
1000,SED,Grp_003_SED_X002_Y003.png,1.6453082762595401,1.645301513253012,195.57122139604166
1000,SED,Grp_003_SED_X002_Y004.png,1.6459383939481433,1.645301513253012,235.34904049559736
1000,SED,Grp_003_SED_X002_Y005.png,1.6392252280481798,1.6354494083832334,245.42927267722146
1000,SED,Grp_003_SED_X002_Y006.png,1.6411949358587272,1.645301513253012,229.7017458818639
1000,SED,Grp_003_SED_X002_Y007.png,1.6395683887540426,1.6354494083832334,220.0891723048952
1000,SED,Grp_003_SED_X003_Y000.png,1.6485539790728518,1.645301513253012,232.66838649479152
1000,SED,Grp_003_SED_X003_Y001.png,1.6498271730287255,1.645301513253012,210.9404171698744
1000,SED,Grp_003_SED_X003_Y002.png,1.6454026769800665,1.645301513253012,247.63465705406168
1000,SED,Grp_003_SED_X003_Y003.png,1.64321214681867,1.645301513253012,266.5957161462011
1000,SED,Grp_003_SED_X003_Y004.png,1.6404570104420912,1.645301513253012,211.68938534958403
